Frame, Time (ms)
  362,  7849.980
  363,  7867.043
  364,  7883.117
  365,  7899.738
  366,  7916.617
  367,  7933.530
  368,  7950.446
  369,  7966.458
  370,  7983.414
  371,  7999.746
  372,  8016.587
  373,  8033.273
  374,  8049.637
  375,  8066.565
  376,  8083.248
  377,  8100.008
  378,  8116.386
  379,  8133.534
  380,  8149.715
  381,  8166.822
  382,  8182.968
  383,  8199.823
  384,  8216.326
  385,  8233.568
  386,  8249.819
  387,  8266.501
  388,  8283.265
  389,  8299.727
  390,  8316.510
  391,  8333.095
  392,  8350.266
  393,  8366.429
  394,  8383.216
  395,  8399.809
  396,  8416.754
  397,  8433.077
  398,  8449.740
  399,  8467.065
  400,  8484.004
  401,  8500.215
  402,  8516.770
  403,  8533.056
  404,  8550.721
  405,  8567.047
  406,  8583.189
  407,  8599.658
  408,  8616.358
  409,  8634.454
  410,  8649.914
  411,  8666.434
  412,  8683.282
  413,  8699.731
  414,  8716.369
  415,  8733.317
  416,  8750.107
  417,  8766.752
  418,  8783.167
  419,  8799.987
  420,  8816.551
  421,  8833.173
  422,  8849.731
  423,  8866.430
  424,  8883.306
  425,  8900.973
  426,  8916.376
  427,  8933.000
  428,  8949.821
  429,  8966.574
  430,  8983.353
  431,  9000.114
  432,  9016.281
  433,  9033.022
  434,  9050.201
  435,  9066.479
  436,  9083.508
  437,  9099.713
  438,  9116.297
  439,  9133.282
  440,  9149.813
  441,  9166.222
  442,  9183.073
  443,  9199.630
  444,  9216.468
  445,  9232.996
  446,  9249.865
  447,  9266.377
  448,  9283.155
  449,  9300.156
  450,  9316.421
  451,  9333.142
  452,  9349.700
  453,  9366.352
  454,  9383.088
  455,  9399.997
  456,  9416.352
  457,  9433.004
  458,  9449.703
  459,  9466.593
  460,  9483.160
  461,  9499.826
  462,  9516.436
  463,  9533.224
  464,  9549.678
  465,  9566.297
  466,  9582.929
  467,  9599.664
  468,  9616.357
  469,  9633.540
  470,  9649.656
  471,  9666.316
  472,  9682.959
  473,  9699.767
  474,  9716.408
  475,  9733.051
  476,  9749.590
  477,  9766.603
  478,  9783.007
  479,  9799.806
  480,  9816.548
  481,  9833.134
  482,  9849.679
  483,  9866.377
  484,  9883.232
  485,  9900.551
  486,  9916.368
  487,  9932.972
  488,  9949.723
  489,  9966.459
  490,  9983.185
  491,  9999.535
  492, 10016.278
  493, 10032.980
  494, 10049.639
  495, 10067.363
  496, 10083.254
  497, 10099.716
  498, 10116.248
  499, 10133.587
  500, 10150.142
  501, 10166.742
  502, 10183.865
  503, 10199.568
  504, 10216.212
  505, 10234.690
  506, 10250.408
  507, 10267.479
  508, 10282.948
  509, 10300.675
  510, 10316.797
  511, 10333.866
  512, 10350.205
  513, 10366.788
  514, 10383.833
  515, 10400.570
  516, 10417.246
  517, 10434.029
  518, 10450.315
  519, 10466.910
  520, 10483.346
  521, 10500.096
  522, 10517.007
  523, 10533.500
  524, 10550.483
  525, 10566.845
  526, 10583.967
  527, 10600.059
  528, 10616.599
  529, 10634.053
  530, 10650.199
  531, 10666.668
  532, 10683.759
  533, 10700.161
  534, 10717.315
  535, 10733.525
  536, 10750.029
  537, 10767.249
  538, 10784.119
  539, 10800.681
  540, 10817.686
  541, 10834.451
  542, 10850.747
  543, 10867.743
  544, 10884.343
  545, 10901.831
  546, 10917.841
  547, 10934.319
  548, 10950.659
  549, 10967.999
  550, 10984.063
  551, 11001.613
  552, 11017.435
  553, 11033.998
  554, 11051.242
  555, 11067.319
  556, 11084.007
  557, 11101.291
  558, 11117.681
  559, 11135.035
  560, 11150.937
  561, 11167.753
  562, 11184.290
  563, 11201.295
  564, 11217.392
  565, 11235.096
  566, 11250.963
  567, 11267.302
  568, 11284.538
  569, 11301.034
  570, 11317.601
  571, 11334.224
  572, 11350.718
  573, 11368.200
  574, 11384.191
  575, 11400.599
  576, 11417.707
  577, 11434.405
  578, 11451.921
  579, 11467.605
  580, 11484.153
  581, 11501.200
  582, 11517.726
  583, 11534.623
  584, 11552.154
  585, 11567.452
  586, 11584.380
  587, 11601.635
  588, 11617.287
  589, 11634.479
  590, 11650.942
  591, 11667.283
  592, 11684.868
  593, 11700.990
  594, 11717.358
  595, 11734.401
  596, 11750.626
  597, 11767.922
  598, 11783.922
  599, 11801.157
  600, 11817.264
  601, 11833.972
  602, 11850.862
  603, 11867.197
  604, 11884.144
  605, 11900.718
  606, 11917.369
  607, 11935.243
  608, 11951.635
  609, 11967.651
  610, 11984.315
  611, 12000.702
  612, 12017.923
  613, 12034.334
  614, 12051.327
  615, 12067.332
  616, 12084.907
  617, 12100.859
  618, 12117.563
  619, 12134.526
  620, 12151.115
  621, 12168.005
  622, 12184.248
  623, 12200.618
  624, 12218.122
  625, 12234.138
  626, 12250.773
  627, 12268.067
  628, 12284.119
  629, 12300.982
  630, 12317.497
  631, 12334.125
  632, 12350.633
  633, 12367.060
  634, 12384.411
  635, 12400.879
  636, 12417.710
  637, 12434.227
  638, 12450.832
  639, 12467.777
  640, 12484.236
  641, 12500.928
  642, 12517.729
  643, 12533.993
  644, 12550.571
  645, 12567.145
  646, 12583.693
  647, 12600.551
  648, 12617.231
  649, 12634.589
  650, 12650.591
  651, 12667.440
  652, 12684.181
  653, 12700.527
  654, 12717.613
  655, 12734.212
  656, 12751.051
  657, 12767.270
  658, 12784.197
  659, 12800.503
  660, 12817.600
  661, 12834.309
  662, 12850.576
  663, 12867.341
  664, 12884.732
  665, 12900.576
  666, 12917.616
  667, 12934.172
  668, 12950.492
  669, 12968.174
  670, 12985.155
  671, 13000.862
  672, 13017.287
  673, 13034.394
  674, 13050.496
  675, 13067.460
  676, 13084.223
  677, 13100.566
  678, 13117.603
  679, 13135.134
  680, 13150.855
  681, 13167.173
  682, 13184.692
  683, 13200.620
  684, 13217.364
  685, 13234.675
  686, 13251.340
  687, 13267.367
  688, 13284.192
  689, 13300.721
  690, 13317.301
  691, 13333.831
  692, 13350.772
  693, 13367.117
  694, 13384.538
  695, 13400.366
  696, 13417.435
  697, 13434.046
  698, 13450.804
  699, 13467.083
  700, 13484.115
  701, 13500.814
  702, 13517.116
  703, 13534.758
  704, 13550.925
  705, 13568.520
  706, 13584.731
  707, 13601.129
  708, 13617.793
  709, 13634.888
  710, 13651.245
  711, 13668.098
  712, 13684.262
  713, 13700.980
  714, 13717.624
  715, 13734.397
  716, 13750.868
  717, 13768.021
  718, 13784.470
  719, 13800.802
  720, 13817.885
  721, 13834.330
  722, 13851.090
  723, 13867.675
  724, 13884.795
  725, 13901.334
  726, 13918.007
  727, 13934.805
  728, 13951.036
  729, 13968.111
  730, 13985.056
  731, 14000.416
  732, 14016.827
  733, 14033.160
  734, 14049.272
  735, 14066.128
  736, 14082.909
  737, 14099.252
  738, 14115.806
  739, 14133.530
  740, 14149.283
  741, 14166.013
  742, 14182.598
  743, 14199.071
  744, 14215.954
  745, 14232.970
  746, 14249.549
  747, 14266.457
  748, 14282.995
  749, 14300.000
  750, 14316.376
  751, 14333.075
  752, 14349.570
  753, 14366.427
  754, 14383.083
  755, 14399.755
  756, 14416.293
  757, 14433.040
  758, 14449.526
  759, 14466.241
  760, 14483.478
  761, 14499.729
  762, 14516.222
  763, 14532.966
  764, 14549.964
  765, 14566.383
  766, 14582.980
  767, 14599.598
  768, 14616.287
  769, 14633.305
  770, 14649.791
  771, 14666.601
  772, 14683.450
  773, 14699.854
  774, 14716.373
  775, 14733.193
  776, 14749.748
  777, 14766.410
  778, 14783.677
  779, 14800.110
  780, 14816.337
  781, 14833.527
  782, 14849.507
  783, 14866.351
  784, 14882.908
  785, 14899.499
  786, 14916.273
  787, 14932.997
  788, 14950.666
  789, 14967.020
  790, 14983.743
  791, 14999.916
  792, 15017.280
  793, 15033.138
  794, 15050.161
  795, 15067.169
  796, 15083.616
  797, 15099.769
  798, 15117.031
  799, 15134.061
  800, 15149.620
  801, 15166.237
  802, 15183.463
  803, 15199.723
  804, 15216.428
  805, 15233.494
  806, 15249.454
  807, 15266.238
  808, 15283.604
  809, 15299.634
  810, 15316.259
  811, 15332.846
  812, 15349.456
  813, 15366.359
  814, 15383.035
  815, 15399.708
  816, 15416.356
  817, 15433.028
  818, 15449.951
  819, 15466.377
  820, 15482.929
  821, 15499.443
  822, 15516.186
  823, 15533.267
  824, 15549.706
  825, 15566.293
  826, 15582.772
  827, 15599.653
  828, 15616.548
  829, 15633.243
  830, 15649.704
  831, 15666.173
  832, 15682.775
  833, 15699.724
  834, 15716.366
  835, 15733.027
  836, 15749.847
  837, 15766.345
  838, 15782.875
  839, 15799.527
  840, 15816.464
  841, 15832.762
  842, 15849.601
  843, 15866.207
  844, 15882.908
  845, 15899.707
  846, 15916.531
  847, 15932.770
  848, 15949.774
  849, 15966.387
  850, 15984.297
  851, 15999.792
  852, 16016.791
  853, 16032.997
  854, 16049.946
  855, 16066.878
  856, 16082.930
  857, 16099.420
  858, 16116.240
  859, 16133.514
  860, 16149.732
  861, 16166.570
  862, 16183.044
  863, 16199.925
  864, 16216.030
  865, 16232.815
  866, 16249.672
  867, 16266.218
  868, 16282.866
  869, 16299.899
  870, 16316.808
  871, 16332.966
  872, 16349.561
  873, 16366.669
  874, 16382.752
  875, 16399.765
  876, 16416.073
  877, 16432.851
  878, 16449.504
  879, 16466.647
  880, 16483.126
  881, 16499.848
  882, 16516.831
  883, 16533.094
  884, 16549.574
  885, 16566.034
  886, 16582.868
  887, 16599.333
  888, 16616.218
  889, 16633.087
  890, 16649.636
  891, 16666.169
  892, 16682.796
  893, 16699.674
  894, 16716.187
  895, 16732.753
  896, 16749.859
  897, 16766.270
  898, 16783.333
  899, 16799.442
  900, 16816.274
  901, 16832.698
  902, 16849.883
  903, 16866.182
  904, 16883.062
